emp_no,dept_no,from_date,to_date
471454,d007,28-10-1990,11-12-1990
471455,d005,11-09-1998,01-01-9999
471456,d004,19-02-1996,01-01-9999
471457,d005,18-04-1994,01-01-9999
471458,d004,09-08-1986,01-01-9999
471459,d007,22-06-1999,01-01-9999
471460,d005,02-09-1994,01-01-9999
471461,d008,04-12-1994,01-01-9999
471462,d005,15-09-1996,07-07-1999
471462,d008,07-07-1999,01-01-9999
471463,d003,14-02-1987,30-10-1989
471464,d009,06-08-1996,01-01-9999
471465,d005,04-05-1989,01-01-9999
471466,d004,05-02-1995,01-02-2002
471467,d005,07-01-1994,01-01-9999
471468,d008,21-11-1998,01-01-9999
471469,d004,01-01-1993,01-01-9999
471470,d001,19-08-1991,01-01-9999
471471,d004,12-11-1987,01-04-1991
471471,d009,01-04-1991,01-01-9999
471472,d005,11-11-1986,01-01-9999
471473,d005,28-05-1999,01-01-9999
471474,d008,14-04-1989,14-04-1992
471475,d007,27-06-1992,01-01-9999
471476,d007,30-09-1999,01-01-9999
471477,d005,11-10-1994,01-01-9999
471478,d007,31-08-1989,01-01-9999
471479,d001,29-07-1992,28-10-2001
471479,d007,28-10-2001,01-01-9999
471480,d008,10-06-1986,01-01-9999
471481,d004,11-01-1989,01-01-9999
471482,d005,14-06-1986,04-04-1991
471483,d007,05-09-1998,01-01-9999
471484,d009,25-06-1996,01-01-9999
471485,d005,03-10-1988,30-01-1993
471486,d003,19-07-1990,01-01-9999
471487,d004,04-06-1996,01-01-9999
471487,d005,08-01-1988,04-06-1996
471488,d004,08-11-1998,01-01-9999
471489,d007,08-08-1989,01-01-9999
471490,d008,14-02-1985,01-01-9999
471491,d007,14-07-1999,01-01-9999
471492,d004,15-02-1991,01-01-9999
471493,d006,29-07-1993,01-01-9999
471494,d005,17-03-1988,26-05-1990
471495,d007,09-06-1988,01-01-9999
471496,d004,03-04-1999,01-01-9999
471497,d004,26-02-1986,25-06-1987
471497,d009,25-06-1987,01-01-9999
471498,d004,03-03-1995,09-04-1996
471499,d009,17-07-1986,01-01-9999
471500,d004,28-09-1988,01-01-9999
471501,d001,16-01-1994,01-01-9999
471502,d008,08-03-1998,01-01-9999
471503,d004,22-01-1994,01-01-9999
471504,d005,23-09-1990,02-02-1992
471505,d007,28-08-1991,01-11-1997
471506,d008,22-11-1989,01-01-9999
471507,d007,11-06-1987,01-01-9999
471508,d005,24-12-1992,01-01-9999
471508,d006,17-06-1992,24-12-1992
471509,d005,09-02-1988,01-01-9999
471510,d002,06-06-1993,01-01-9999
471511,d005,10-02-1985,01-01-9999
471512,d005,27-10-1989,01-01-9999
471513,d004,03-08-1991,10-12-1999
471514,d001,02-06-1986,01-01-9999
471515,d001,23-07-1994,27-01-1999
471516,d005,18-07-1990,01-01-9999
471517,d003,17-06-1994,01-01-9999
471518,d009,14-11-1986,01-01-9999
471519,d004,13-06-1989,01-08-1990
471519,d006,01-08-1990,01-01-9999
471520,d007,08-07-1985,01-01-9999
471521,d005,04-06-1985,04-06-2000
471522,d005,22-08-1999,20-07-2000
471523,d005,22-09-1994,01-01-9999
471524,d007,29-09-1996,01-01-9999
471525,d007,25-03-1994,01-01-9999
471526,d007,16-09-1992,01-01-9999
471527,d004,02-10-1995,01-01-9999
471528,d004,18-08-1994,06-11-1996
471529,d001,05-07-1997,01-01-9999
471529,d007,10-05-1995,05-07-1997
471530,d007,13-08-1993,01-01-9999
471531,d007,26-08-1994,01-01-9999
471532,d005,13-09-1998,01-01-9999
471533,d004,22-12-1993,01-01-9999
471534,d004,27-04-1992,01-01-9999
471535,d005,27-11-1997,11-11-1999
471536,d004,15-05-1995,01-01-9999
471537,d006,12-04-1991,01-01-9999
471538,d004,30-01-1988,01-04-1989
471538,d006,01-04-1989,01-01-9999
471539,d006,28-02-1999,01-01-9999
471540,d005,11-01-1988,01-01-9999
471541,d005,04-12-1995,01-01-9999
471542,d005,01-04-1989,01-01-9999
471543,d005,08-12-1994,01-01-9999
471544,d005,27-07-1989,06-11-1991
471545,d005,20-12-1999,01-01-9999
471546,d007,05-07-1986,01-01-9999
471547,d004,21-02-2002,01-01-9999
471547,d005,16-08-1993,21-02-2002
471548,d007,01-07-1994,01-01-9999
471549,d005,10-03-1995,01-01-9999
471550,d001,22-08-1986,01-01-9999
471551,d004,13-09-1999,01-01-9999
471552,d002,25-10-1997,01-01-9999
471553,d007,13-12-1994,02-03-1997
471554,d005,04-12-1995,01-01-9999
471555,d008,12-08-1985,01-01-9999
471556,d005,12-05-1990,28-01-1992
471556,d008,28-01-1992,01-01-9999
471557,d004,17-05-1992,06-04-1994
471558,d007,21-02-1994,12-09-1999
471559,d005,03-03-1993,01-01-9999
471560,d009,17-06-1990,01-01-9999
471561,d007,29-05-1992,01-01-9999
471562,d004,14-05-1992,01-01-9999
471563,d001,02-07-1999,11-02-2001
471564,d009,20-09-1999,01-01-9999
471565,d006,10-11-1998,01-01-9999
471566,d007,05-02-1995,01-01-9999
471567,d004,25-07-2000,01-01-9999
471567,d005,31-12-1989,25-07-2000
471568,d004,23-03-1986,15-03-2001
471569,d005,10-04-1987,01-01-9999
471570,d006,28-08-1989,01-01-9999
471571,d001,27-07-1996,01-01-9999
471572,d005,18-07-1986,01-01-9999
471573,d004,03-08-1985,01-01-9999
471574,d006,10-07-1988,01-01-9999
471575,d005,26-09-1994,01-01-9999
471576,d005,21-12-1998,25-07-2002
471577,d004,17-06-2002,01-01-9999
471577,d006,26-03-1997,17-06-2002
471578,d001,13-12-1997,01-01-9999
471579,d007,14-11-1996,08-06-1998
471580,d005,07-09-1998,01-01-9999
471581,d007,24-03-1985,01-01-9999
471582,d009,04-04-1999,01-01-9999
471583,d007,03-11-1991,01-01-9999
471584,d005,16-10-1996,01-01-9999
471585,d002,29-04-1991,01-01-9999
471586,d001,22-09-1998,01-01-9999
471586,d007,20-03-1992,22-09-1998
471587,d005,17-11-1992,01-01-9999
471588,d004,20-01-1999,27-05-2001
471589,d009,05-01-1991,01-01-9999
471590,d005,03-04-1998,01-01-9999
471591,d004,24-05-1996,01-01-9999
471592,d005,02-06-1996,01-01-9999
471593,d005,21-05-1993,23-05-1996
471594,d004,27-07-1999,28-08-2000
471594,d006,28-08-2000,01-01-9999
471595,d004,04-09-1998,01-01-9999
471596,d008,29-09-1988,01-01-9999
471597,d005,02-08-1989,01-01-9999
471598,d005,15-11-1993,28-01-1996
471599,d004,04-03-1986,01-01-9999
471600,d004,02-10-1999,01-01-9999
471601,d003,24-06-1994,01-01-9999
471602,d005,20-02-1998,09-04-2002
471602,d008,09-04-2002,01-01-9999
471603,d009,21-03-1997,15-03-2002
471604,d007,12-10-1995,01-01-9999
471605,d005,18-09-1988,01-01-9999
471606,d005,08-09-1988,01-01-9999
471607,d004,29-05-1989,01-01-9999
471608,d005,28-11-1992,01-01-9999
471609,d007,13-02-1987,01-01-9999
471610,d004,24-11-1998,26-09-2001
471611,d007,14-12-1986,04-05-1991
471611,d009,04-05-1991,01-01-9999
471612,d002,27-10-1986,01-01-9999
471613,d005,28-08-1994,01-01-9999
471614,d003,15-02-1995,01-01-9999
471615,d007,29-06-1991,01-01-9999
471616,d004,13-02-1992,10-07-1999
471617,d002,09-11-1987,01-01-9999
471618,d002,18-08-1995,01-01-9999
471619,d006,06-10-1987,01-01-9999
471620,d005,14-12-1987,01-01-9999
471621,d003,29-07-1987,19-07-1999
471622,d001,27-01-1993,01-01-9999
471622,d003,25-12-1991,27-01-1993
471623,d004,28-05-1987,01-01-9999
471624,d009,16-05-1989,01-01-9999
471625,d001,02-08-1993,05-06-1999
471626,d003,08-12-1996,01-01-9999
471627,d002,26-01-1990,01-01-9999
471628,d005,27-05-1999,15-11-1999
471629,d003,26-03-1992,01-01-9999
471630,d007,20-08-1992,11-05-1995
471631,d007,31-07-1985,12-04-2002
471631,d009,12-04-2002,01-01-9999
471632,d005,12-08-1999,01-01-9999
471633,d007,30-08-1985,01-01-9999
471634,d004,13-01-1998,01-01-9999
471635,d009,29-07-1999,01-01-9999
471636,d002,04-11-1997,21-12-2001
471637,d005,22-12-1999,01-01-9999
471638,d008,21-06-1994,01-01-9999
471639,d004,11-10-1997,01-01-9999
471639,d005,05-08-1997,11-10-1997
471640,d006,18-12-1994,01-01-9999
471641,d004,01-08-1994,01-01-9999
471642,d006,28-08-1993,18-05-1995
471643,d004,27-11-1988,01-01-9999
471644,d009,27-07-1993,16-10-2000
471645,d005,01-08-1996,15-11-1998
471646,d005,31-10-1987,01-01-9999
471647,d003,21-10-1991,01-01-9999
471648,d005,04-03-1995,17-07-1995
471648,d008,17-07-1995,01-09-1997
471649,d004,16-12-1986,01-01-9999
471650,d004,26-04-1987,01-01-9999
471651,d007,24-03-1991,01-01-9999
471652,d005,24-09-1993,01-01-9999
471653,d006,04-08-1994,08-10-2000
471654,d002,04-08-1996,01-01-9999
471655,d004,29-10-1987,01-01-9999
471656,d006,04-05-1987,01-01-9999
471657,d007,08-12-1999,21-02-2000
471657,d009,21-02-2000,01-01-9999
471658,d005,07-11-1985,01-01-9999
471659,d007,05-07-1989,01-01-9999
471660,d004,23-06-1996,01-01-9999
471661,d004,05-03-1987,29-03-1993
471662,d004,25-01-1991,01-01-9999
471663,d001,15-07-1992,01-01-9999
471664,d005,05-08-1996,01-01-9999
471665,d004,25-04-1992,01-01-9999
471666,d004,17-11-1986,27-11-1991
471667,d008,03-02-1994,01-01-9999
471668,d004,26-07-1994,25-08-1998
471668,d006,25-08-1998,01-01-9999
471669,d005,17-08-1999,01-01-9999
471670,d007,21-11-1997,01-01-9999
471671,d005,16-12-1991,01-01-9999
471672,d004,14-04-1988,01-01-9999
471673,d006,20-01-1995,04-08-2001
471674,d002,24-08-1985,01-01-9999
471675,d007,08-09-1999,01-01-9999
471676,d008,17-11-1985,01-01-9999
471677,d004,03-04-2000,01-01-9999
471677,d009,10-02-1998,03-04-2000
471678,d005,07-02-1985,01-01-9999
471679,d007,27-02-1992,01-01-9999
471680,d005,26-10-1990,01-01-9999
471681,d004,11-11-1992,13-06-1996
471682,d004,24-05-1986,01-01-9999
471683,d001,29-11-1996,01-01-9999
471684,d007,30-11-1991,01-01-9999
471685,d004,16-02-1989,21-09-1992
471685,d009,21-09-1992,01-01-9999
471686,d005,21-07-1989,01-01-9999
471687,d004,09-02-1986,05-02-1998
471688,d005,01-04-1992,01-01-9999
471689,d005,13-02-1992,01-02-1998
471690,d005,17-03-1992,01-01-9999
471691,d002,13-02-1992,01-01-9999
471692,d008,08-02-1999,01-01-9999
471693,d005,05-12-1986,01-01-9999
471694,d001,02-08-1998,21-01-2000
471694,d007,10-05-1997,02-08-1998
471695,d007,12-02-1997,01-01-9999
471696,d007,15-04-1992,01-01-9999
471697,d007,05-04-1999,01-01-9999
471698,d005,07-01-1996,01-01-9999
471699,d003,07-01-1993,01-01-9999
471700,d003,22-08-1996,01-01-9999
471701,d005,26-10-1994,01-01-9999
471702,d007,09-01-1992,01-01-9999
471703,d001,26-10-1995,06-06-1999
471703,d007,18-03-1993,26-10-1995
471704,d009,19-03-1995,01-01-9999
471705,d005,10-06-1997,01-01-9999
471706,d008,19-02-1999,01-01-9999
471707,d005,19-05-1996,01-01-9999
471708,d004,26-01-1988,01-01-9999
471709,d007,30-01-2000,01-01-9999
471710,d003,27-06-1988,01-01-9999
471711,d007,24-08-1995,01-01-9999
471712,d005,23-12-1987,08-09-1998
471713,d004,21-01-1998,01-01-9999
471714,d004,29-07-1997,27-10-2000
471714,d009,27-10-2000,01-01-9999
471715,d007,27-10-1987,01-01-9999
471716,d005,07-11-1992,01-01-9999
471717,d005,07-12-1985,01-01-9999
471718,d007,02-03-1995,01-01-9999
471719,d002,05-06-1988,01-01-9999
471720,d008,09-06-1996,17-02-1997
471721,d004,17-06-1992,01-01-9999
471722,d001,08-01-2000,04-02-2001
471722,d007,04-02-2001,01-01-9999
471723,d007,16-06-1997,01-01-9999
471724,d004,27-09-1997,01-01-9999
471725,d005,09-10-1997,01-01-9999
471726,d004,10-10-1999,01-01-9999
471727,d004,27-06-1989,24-06-1993
471728,d006,05-07-1986,01-01-9999
471729,d004,16-12-1992,01-01-9999
471730,d005,24-02-1995,17-12-2001
471731,d007,17-12-1988,06-12-2001
471731,d009,06-12-2001,28-04-2002
471732,d004,17-07-1986,01-01-9999
471733,d003,17-08-1989,01-01-9999
471734,d006,01-07-1988,01-01-9999
471735,d004,23-11-1987,05-06-1999
471736,d009,16-08-1995,01-01-9999
471737,d004,26-11-1995,01-01-9999
471738,d004,19-09-1999,09-01-2001
471739,d005,22-03-1993,01-01-9999
471740,d001,10-07-2002,01-01-9999
471740,d007,27-08-1985,10-07-2002
471741,d005,17-07-1990,01-01-9999
471742,d003,21-10-1996,01-01-9999
471743,d004,12-04-1995,01-01-9999
471744,d007,28-11-1998,01-01-9999
471745,d005,29-06-1988,15-04-1997
471746,d009,12-08-1992,01-01-9999
471747,d008,26-09-1986,01-01-9999
471748,d004,13-07-1991,01-01-9999
471749,d007,12-05-1994,01-01-9999
471750,d002,19-02-2000,21-07-2000
471750,d003,14-12-1998,19-02-2000
471751,d005,27-04-1998,01-01-9999
471752,d007,13-11-1992,01-01-9999
471753,d005,31-07-1989,01-01-9999
471754,d006,07-10-1993,01-01-9999
471755,d007,16-05-1993,01-01-9999
471756,d008,10-11-1994,01-01-9999
471757,d004,06-02-1985,01-01-9999
471758,d009,25-12-1986,16-02-1996
471759,d006,27-12-1992,28-02-1994
471760,d008,24-06-1988,01-01-9999
471761,d001,03-08-1998,21-12-1999
471761,d009,21-12-1999,01-01-9999
471762,d005,11-08-1995,01-01-9999
471763,d008,06-03-1992,01-01-9999
471764,d005,18-02-1990,01-01-9999
471765,d004,09-11-1988,20-06-1996
471766,d005,01-10-1993,01-01-9999
471767,d007,27-11-1999,01-01-9999
471768,d004,25-01-1999,01-01-9999
471769,d004,12-05-1985,01-01-9999
471770,d008,11-07-1998,25-07-2000
471771,d005,09-04-2000,01-01-9999
471771,d006,02-05-1997,09-04-2000
471772,d005,06-12-1997,01-01-9999
471773,d006,31-12-1986,01-01-9999
471774,d004,30-04-1998,01-01-9999
471775,d004,15-12-1993,01-01-9999
471776,d001,14-04-1992,01-01-9999
471777,d005,14-07-1997,07-10-1997
471778,d005,10-06-1985,01-01-9999
471779,d004,01-06-1990,10-12-1990
471780,d004,25-01-1996,01-01-9999
471781,d007,19-01-1994,27-01-1997
471781,d009,27-01-1997,01-01-9999
471782,d005,10-10-1985,01-01-9999
471783,d005,10-02-1985,01-01-9999
471784,d002,17-02-1989,02-02-2002
471785,d007,07-10-1985,01-01-9999
471786,d001,24-06-1989,01-01-9999
471787,d004,20-08-1988,01-01-9999
471788,d005,03-06-1989,01-01-9999
471789,d007,08-07-1992,01-01-9999
471790,d002,09-02-1987,01-01-9999
471791,d004,03-01-1996,23-12-2000
471791,d009,23-12-2000,01-01-9999
471792,d004,07-10-1986,27-02-1991
471793,d003,14-11-1985,01-01-9999
471794,d007,27-05-1992,01-01-9999
471795,d007,30-08-1996,01-01-9999
471796,d007,09-02-1987,13-12-1993
471797,d007,02-08-1990,01-01-9999
471798,d007,14-01-1989,01-01-9999
471799,d001,10-10-1985,01-01-9999
471800,d001,12-08-1985,30-05-1986
471800,d009,30-05-1986,01-01-9999
471801,d005,01-10-1995,01-01-9999
471802,d004,18-03-1995,01-01-9999
471803,d007,24-03-1998,01-01-9999
471804,d005,29-04-1989,01-01-9999
471805,d005,19-05-1992,21-12-2000
471806,d007,27-09-1996,19-06-2001
471807,d007,07-03-1998,01-01-9999
471808,d005,22-12-1999,01-01-9999
471809,d003,26-08-1998,01-01-9999
471810,d005,28-01-1991,07-05-1995
471810,d008,07-05-1995,01-01-9999
471811,d002,12-07-1997,01-01-9999
471812,d005,30-12-1999,01-01-9999
471813,d005,02-05-1989,22-12-1995
471814,d005,16-09-1996,01-01-9999
471815,d004,18-01-1991,01-01-9999
471816,d008,06-03-1995,31-01-2001
471817,d005,10-02-1988,01-01-9999
471818,d001,12-07-2000,01-01-9999
471818,d003,08-08-1994,12-07-2000
471819,d009,20-04-1989,01-01-9999
471820,d006,26-01-1995,01-01-9999
471821,d007,17-09-1994,16-10-1994
471822,d005,21-07-1990,01-01-9999
471823,d005,13-07-1992,01-01-9999
471824,d008,07-12-1997,01-01-9999
471825,d005,22-08-1988,01-01-9999
471826,d001,30-12-1999,01-01-9999
471827,d005,09-12-1994,24-07-1999
471828,d004,13-05-2002,01-01-9999
471828,d008,04-02-1990,13-05-2002
471829,d007,10-06-1997,01-01-9999
471830,d005,08-03-1989,01-01-9999
471831,d005,11-09-1988,01-01-9999
471832,d007,20-06-1985,01-01-9999
471833,d004,19-01-1995,01-01-9999
471834,d008,30-08-1999,01-01-9999
471835,d005,15-01-1991,01-01-9999
471836,d003,13-06-1994,20-09-1996
471837,d004,13-10-1999,01-01-9999
471838,d004,11-04-1999,20-01-2002
471838,d005,24-10-1995,11-04-1999
471839,d002,10-07-1985,01-01-9999
471840,d007,09-08-1987,01-01-9999
471841,d007,18-11-1996,01-11-1998
471842,d005,24-04-1988,01-01-9999
471843,d005,06-05-1995,29-11-2001
471844,d007,12-04-1988,01-01-9999
471845,d001,29-05-1992,01-01-9999
471846,d004,16-09-1994,01-01-9999
471847,d007,21-03-1987,15-08-1996
471848,d001,26-10-1999,11-05-2000
471848,d009,11-05-2000,01-01-9999
471849,d004,30-05-1988,01-01-9999
471850,d005,05-08-1986,01-01-9999
471851,d003,05-11-1993,01-01-9999
471852,d005,06-02-1987,01-01-9999
471853,d005,17-01-1994,01-01-9999
471854,d006,29-07-1996,23-02-1998
471855,d009,05-07-1996,01-01-9999
471856,d005,27-12-1998,05-06-2002
471857,d005,10-03-1988,07-06-1992
471858,d009,06-11-1986,01-01-9999
471859,d004,04-08-1997,01-01-9999
471859,d005,11-08-1996,04-08-1997
471860,d004,31-07-1992,01-01-9999
471861,d004,04-09-1986,01-01-9999
471862,d007,01-02-2000,01-01-9999
471863,d006,22-04-1996,01-01-9999
471864,d005,08-05-1997,28-01-1999
471865,d007,14-01-1991,01-01-9999
471866,d007,27-06-1997,01-01-9999
471867,d006,18-07-1988,01-01-9999
471868,d002,13-12-1991,18-01-1999
471868,d007,18-01-1999,01-01-9999
471869,d009,07-12-1985,01-01-9999
471870,d003,10-11-1987,01-01-9999
471871,d003,31-10-1995,01-01-2000
471872,d005,07-11-1998,01-01-9999
471873,d004,10-01-1989,01-01-9999
471874,d005,07-02-1991,01-01-9999
471875,d007,22-02-1995,01-01-9999
471876,d001,30-01-1992,01-01-9999
471877,d001,06-04-1995,15-09-1995
471877,d009,15-09-1995,02-05-1996
471878,d004,07-12-1988,01-01-9999
471879,d004,08-03-1988,01-01-9999
471880,d002,14-12-1995,01-01-9999
471881,d005,21-10-1991,01-01-9999
471882,d005,07-04-1985,08-04-2002
471883,d004,11-01-1992,01-01-9999
471884,d002,01-03-1988,10-08-1993
471885,d008,05-12-1985,01-01-9999
471886,d004,22-12-1993,16-05-1998
471886,d005,05-08-1988,22-12-1993
471887,d005,12-12-1999,01-01-9999
471888,d005,21-07-1998,01-01-9999
471889,d005,24-04-1995,01-01-9999
471890,d009,11-09-1993,01-01-9999
471891,d007,13-09-1990,01-01-9999
471892,d005,17-07-1995,01-01-9999
471893,d005,03-12-1988,25-02-1998
471894,d004,23-12-1994,04-10-1995
471894,d006,04-10-1995,01-01-9999
471895,d004,19-03-1997,15-12-1999
471896,d005,06-08-1985,18-11-1998
471897,d009,17-10-1986,01-01-9999
471898,d005,26-03-1994,01-03-1998
471899,d003,22-11-1991,01-01-9999
471900,d007,04-02-1992,01-01-9999
471901,d006,08-06-1998,01-01-9999
471902,d009,01-12-1990,01-01-9999
471903,d004,20-03-1986,15-02-1991
471903,d009,15-02-1991,01-01-9999
471904,d007,06-07-1988,01-01-9999
471905,d005,05-08-1987,01-01-9999
471906,d005,23-09-1988,01-01-9999
471907,d004,09-06-1996,13-06-1997
471908,d004,14-04-1997,01-01-9999
471909,d005,01-05-1990,01-01-9999
471910,d007,06-12-1997,21-10-1999
471911,d006,31-05-1990,01-01-9999
471912,d007,25-07-1994,08-07-1996
471912,d009,08-07-1996,17-06-1997
471913,d004,19-02-1989,01-01-9999
471914,d007,19-11-1993,01-01-9999
471915,d004,06-07-1997,01-01-9999
471916,d003,20-09-1992,01-01-9999
471917,d004,27-11-1987,01-01-9999
471918,d005,02-04-1988,01-01-9999
471919,d004,22-09-1994,12-07-2000
471920,d001,15-10-1991,12-02-2000
471921,d004,26-02-1986,12-07-1997
471921,d009,12-07-1997,01-01-9999
471922,d005,06-08-1985,01-01-9999
471923,d005,06-09-1986,01-01-9999
471924,d004,01-11-1992,01-01-9999
471925,d007,13-10-1990,01-01-9999
471926,d006,02-06-1999,21-10-1999
471927,d007,07-04-1996,01-01-9999
471928,d005,07-01-1986,01-01-9999
471929,d005,24-12-1999,01-01-9999
471930,d001,06-05-1988,01-01-9999
471931,d005,08-02-1995,08-10-2000
471931,d008,08-10-2000,01-01-9999
471932,d005,03-02-1993,08-10-1999
471933,d007,01-10-1991,01-01-9999
471934,d008,14-09-1999,01-01-9999
471935,d005,28-09-1989,01-01-9999
471936,d009,12-04-1989,01-01-9999
471937,d005,03-07-1988,29-01-2002
471938,d004,19-09-1994,01-01-9999
471939,d004,04-06-2001,01-01-9999
471939,d008,16-11-1999,04-06-2001
471940,d005,10-10-1991,01-01-9999
471941,d007,06-12-1994,04-07-1997
471942,d006,23-06-1986,01-01-9999
471943,d004,28-05-1989,01-01-9999
471944,d005,16-06-1997,01-01-9999
471945,d005,16-02-1993,01-01-9999
471946,d006,09-01-1989,01-01-9999
471947,d008,30-03-1994,01-01-9999
471948,d007,04-04-1985,01-01-9999
471949,d008,12-07-1997,29-10-1998
471950,d005,04-06-1994,01-01-9999
471950,d008,04-04-1993,04-06-1994
471951,d001,20-03-1998,01-01-9999
471952,d007,24-01-1994,01-01-9999
471953,d005,13-10-1991,08-04-2001
471954,d005,15-09-1992,01-01-9999
471955,d001,19-04-1999,01-01-9999
471956,d004,15-05-1990,01-01-9999
471957,d007,27-01-1991,01-01-9999
471958,d006,24-01-2000,01-01-9999
471959,d005,06-08-1988,01-01-9999
471960,d004,15-07-1990,01-01-9999
471961,d002,03-11-1995,08-02-1997
471961,d003,08-02-1997,25-03-1998
471962,d001,03-12-1992,01-01-9999
471963,d008,02-05-1993,01-01-9999
471964,d007,12-03-1986,01-01-9999
471965,d001,01-12-1996,17-04-2000
471966,d005,18-04-1985,01-01-9999
471967,d001,29-11-1992,01-01-9999
471968,d005,27-04-1997,01-01-9999
471969,d004,20-07-1987,17-05-1997
471969,d006,17-05-1997,01-01-9999
471970,d009,29-06-1994,01-01-9999
471971,d007,08-12-1993,01-01-9999
471972,d001,10-06-1986,04-10-1987
471973,d007,01-06-1989,01-01-9999
471974,d001,21-03-1986,14-06-1994
471975,d004,11-08-1985,01-01-9999
471976,d004,01-10-1988,01-01-9999
471977,d005,31-03-1988,01-01-9999
471978,d007,28-02-1989,01-01-9999
471979,d004,07-03-2002,01-01-9999
471979,d005,27-07-1991,07-03-2002
471980,d005,27-03-1992,01-01-9999
471981,d004,16-12-1998,27-01-2000
471982,d004,01-12-1993,01-01-9999
471983,d004,10-08-1992,01-01-9999
471984,d007,30-05-1988,01-01-9999
471985,d002,01-07-1996,01-01-9999
471986,d004,30-10-1999,01-01-9999
471987,d009,17-02-1992,01-01-9999
471988,d005,19-12-1998,19-04-2001
471988,d008,19-04-2001,08-04-2002
471989,d005,29-11-1985,01-01-9999
471990,d005,01-03-1992,01-01-9999
471991,d006,21-05-1997,01-01-9999
471992,d001,09-07-1985,01-01-9999
471993,d005,19-12-1988,01-01-9999
471994,d003,01-03-1986,01-01-9999
471995,d007,02-11-1994,26-10-2001
471996,d006,02-07-1994,01-01-9999
471997,d009,22-01-1995,21-12-1995
471998,d004,29-07-1988,05-11-1996
471998,d006,05-11-1996,01-01-9999
471999,d005,17-11-1996,01-01-9999
472000,d004,22-07-1996,01-01-9999
472001,d002,28-07-1985,01-01-9999
472002,d007,18-10-1986,01-01-9999
472003,d005,17-05-1990,01-01-9999
472004,d007,14-12-1994,15-12-1997
472005,d001,05-02-1994,01-01-9999
472006,d005,27-01-1995,01-01-9999
472007,d005,10-09-2000,01-01-9999
472007,d009,29-01-1994,10-09-2000
472008,d006,08-02-1990,01-01-9999
472009,d008,03-05-1989,01-01-9999
472010,d007,10-01-1992,01-01-9999
472011,d005,07-02-1993,01-01-9999
472012,d004,22-10-1987,01-01-9999
472013,d007,26-04-1988,17-05-2001
472014,d004,28-06-1993,01-01-9999
472015,d004,02-01-1988,01-01-9999
472016,d004,30-08-1996,07-03-1998
472017,d004,23-09-1999,01-01-9999
472017,d005,09-12-1989,23-09-1999
472018,d004,06-09-1989,01-01-9999
472019,d005,22-11-1989,01-01-9999
472020,d004,12-01-1986,01-01-9999
472021,d007,25-06-1987,01-01-9999
472022,d004,25-10-1985,01-01-9999
472023,d001,29-05-1995,19-01-2000
472024,d005,04-12-1993,01-01-9999
472025,d005,25-10-1998,01-01-9999
472026,d005,05-08-1985,01-01-9999
472027,d006,01-10-1991,01-01-9999
472028,d004,30-07-1995,20-06-2000
472028,d006,20-06-2000,01-01-9999
472029,d002,30-07-1989,01-01-9999
472030,d005,04-06-1992,01-01-9999
472031,d009,28-05-1992,24-11-1996
472032,d007,25-09-1986,01-01-9999
472033,d004,08-06-1997,25-10-1998
472034,d007,03-11-1998,01-01-9999
472035,d006,20-05-1988,18-12-1989
